source_url,final_url,http_status,title,meta_description,h1_text,canonical_url,og_tags,word_count
"https://www.woodinvillesportsclub.com/","https://www.woodinvillesportsclub.com/","200","Woodinville Sports Club | Tennis, Golf, Pickleball, Fitness & Events in Woodinville, WA","Join Woodinville Sports Club in WA for premier tennis, golf, fitness, and pickleball facilities. Discover our programs for all ages and skill levels.","Woodinville and the Eastside&rsquo;s Premiere Destination for Sports Training, Athlete Development, and Community Connection","https://www.woodinvillesportsclub.com/","{""og:title"":""Woodinville Sports Club | Tennis, Golf, Pickleball, Fitness & Events in Woodinville, WA"",""og:description"":""Join Woodinville Sports Club in WA for premier tennis, golf, fitness, and pickleball facilities. Discover our programs for all ages and skill levels."",""og:image"":""https://static.wixstatic.com/media/ad0976_669a0d850c1b464aa3f6c5b718ce6e43%7Emv2.png/v1/fit/w_2500,h_1330,al_c/ad0976_669a0d850c1b464aa3f6c5b718ce6e43%7Emv2.png"",""og:image:width"":""2500"",""og:image:height"":""1330"",""og:url"":""https://www.woodinvillesportsclub.com"",""og:site_name"":""WSC"",""og:type"":""website""}","488"
"https://www.woodinvillesportsclub.com/about-1","https://www.woodinvillesportsclub.com/about-1","200","TableExample | WSC","","About Us","https://www.woodinvillesportsclub.com/about-1","{""og:title"":""TableExample | WSC"",""og:image"":""https://static.wixstatic.com/media/ad0976_669a0d850c1b464aa3f6c5b718ce6e43%7Emv2.png/v1/fit/w_2500,h_1330,al_c/ad0976_669a0d850c1b464aa3f6c5b718ce6e43%7Emv2.png"",""og:image:width"":""2500"",""og:image:height"":""1330"",""og:url"":""https://www.woodinvillesportsclub.com/about-1"",""og:site_name"":""WSC"",""og:type"":""website""}","487"
"https://www.woodinvillesportsclub.com/about-3","https://www.woodinvillesportsclub.com/about-3","200","About | WSC","","About","https://www.woodinvillesportsclub.com/about-3","{""og:title"":""About | WSC"",""og:image"":""https://static.wixstatic.com/media/ad0976_669a0d850c1b464aa3f6c5b718ce6e43%7Emv2.png/v1/fit/w_2500,h_1330,al_c/ad0976_669a0d850c1b464aa3f6c5b718ce6e43%7Emv2.png"",""og:image:width"":""2500"",""og:image:height"":""1330"",""og:url"":""https://www.woodinvillesportsclub.com/about-3"",""og:site_name"":""WSC"",""og:type"":""website""}","137"
"https://www.woodinvillesportsclub.com/about-wsc","https://www.woodinvillesportsclub.com/about-wsc","200","About WSC | WSC","","About WSC","https://www.woodinvillesportsclub.com/about-wsc","{""og:title"":""About WSC | WSC"",""og:image"":""https://static.wixstatic.com/media/ad0976_669a0d850c1b464aa3f6c5b718ce6e43%7Emv2.png/v1/fit/w_2500,h_1330,al_c/ad0976_669a0d850c1b464aa3f6c5b718ce6e43%7Emv2.png"",""og:image:width"":""2500"",""og:image:height"":""1330"",""og:url"":""https://www.woodinvillesportsclub.com/about-wsc"",""og:site_name"":""WSC"",""og:type"":""website""}","437"
"https://www.woodinvillesportsclub.com/adult-rpm-classes/rpm-adult-2.0","https://www.woodinvillesportsclub.com/adult-rpm-classes/rpm-adult-2.0","200","RPM Adult 2.0","For players with little to no tennis experience or instruction. In this class, players will learn the five basic strokes, proper grip techniques, and basic footwork. These foundational skills are essential for progressing in the sport of tennis.","RPM Adult 2.0","https://www.woodinvillesportsclub.com/adult-rpm-classes/rpm-adult-2.0","{""og:title"":""RPM Adult 2.0"",""og:description"":""For players with little to no tennis experience or instruction. In this class, players will learn the five basic strokes, proper grip techniques, and basic footwork. These foundational skills are essential for progressing in the sport of tennis."",""og:url"":""https://www.woodinvillesportsclub.com/adult-rpm-classes/rpm-adult-2.0"",""og:site_name"":""WSC"",""og:type"":""website""}","164"
"https://www.woodinvillesportsclub.com/adult-rpm-classes/rpm-adult-2.5","https://www.woodinvillesportsclub.com/adult-rpm-classes/rpm-adult-2.5","200","RPM Adult 2.5","Players who have progressed past the 2.0 class and are preparing for or wanting to compete. This class focuses on improving stroke fundamentals, introducing spin for better ball control, and sustaining rallies at a moderate pace.","RPM Adult 2.5","https://www.woodinvillesportsclub.com/adult-rpm-classes/rpm-adult-2.5","{""og:title"":""RPM Adult 2.5"",""og:description"":""Players who have progressed past the 2.0 class and are preparing for or wanting to compete. This class focuses on improving stroke fundamentals, introducing spin for better ball control, and sustaining rallies at a moderate pace."",""og:url"":""https://www.woodinvillesportsclub.com/adult-rpm-classes/rpm-adult-2.5"",""og:site_name"":""WSC"",""og:type"":""website""}","160"
"https://www.woodinvillesportsclub.com/adult-rpm-classes/rpm-adult-3.0","https://www.woodinvillesportsclub.com/adult-rpm-classes/rpm-adult-3.0","200","RPM Adult 3.0","For players who have progressed past the 2.5 class. This class aims to enhance stroke fundamentals further, introduce advanced footwork, and develop match strategies. Players will work on sustaining faster-paced rallies and improving overall game tactics.","RPM Adult 3.0","https://www.woodinvillesportsclub.com/adult-rpm-classes/rpm-adult-3.0","{""og:title"":""RPM Adult 3.0"",""og:description"":""For players who have progressed past the 2.5 class. This class aims to enhance stroke fundamentals further, introduce advanced footwork, and develop match strategies. Players will work on sustaining faster-paced rallies and improving overall game tactics."",""og:url"":""https://www.woodinvillesportsclub.com/adult-rpm-classes/rpm-adult-3.0"",""og:site_name"":""WSC"",""og:type"":""website""}","158"
"https://www.woodinvillesportsclub.com/adult-wsc-tennis","https://www.woodinvillesportsclub.com/adult-wsc-tennis","200","WSC Adult Tennis | WSC","Elevate your tennis game with adult classes at Woodinville Sports Club. From beginners to advanced players, our tailored curriculum and experienced coaches help you master skills for USTA league play","Friday Night UTR Matchplay","https://www.woodinvillesportsclub.com/adult-wsc-tennis","{""og:title"":""WSC Adult Tennis | WSC"",""og:description"":""Elevate your tennis game with adult classes at Woodinville Sports Club. From beginners to advanced players, our tailored curriculum and experienced coaches help you master skills for USTA league play"",""og:image"":""https://static.wixstatic.com/media/ad0976_669a0d850c1b464aa3f6c5b718ce6e43%7Emv2.png/v1/fit/w_2500,h_1330,al_c/ad0976_669a0d850c1b464aa3f6c5b718ce6e43%7Emv2.png"",""og:image:width"":""2500"",""og:image:height"":""1330"",""og:url"":""https://www.woodinvillesportsclub.com/adult-wsc-tennis"",""og:site_name"":""WSC"",""og:type"":""website""}","786"
"https://www.woodinvillesportsclub.com/apl-training-center","https://www.woodinvillesportsclub.com/apl-training-center","200","Woodinville Fitness Center | Gym, Personal Training & More | Woodinville Sports Club","Experience Woodinville's spacious, uncrowded fitness center. Comfortable gym, personal training, group classes. Diverse equipment for all needs. Tennis and pickleball courts. Your relaxed wellness destination awaits!","Athletic Performance Lab Training Center High-Performance Training for Youth & Adult Athletes | The Only Training Facility of its Kind in the PNW | APL Training Center Features","https://www.woodinvillesportsclub.com/apl-training-center","{""og:title"":""Woodinville Fitness Center | Gym, Personal Training & More | Woodinville Sports Club"",""og:description"":""Experience Woodinville's spacious, uncrowded fitness center. Comfortable gym, personal training, group classes. Diverse equipment for all needs. Tennis and pickleball courts. Your relaxed wellness destination awaits!"",""og:image"":""https://static.wixstatic.com/media/ad0976_669a0d850c1b464aa3f6c5b718ce6e43%7Emv2.png/v1/fit/w_2500,h_1330,al_c/ad0976_669a0d850c1b464aa3f6c5b718ce6e43%7Emv2.png"",""og:image:width"":""2500"",""og:image:height"":""1330"",""og:url"":""https://www.woodinvillesportsclub.com/apl-training-center"",""og:site_name"":""WSC"",""og:type"":""website""}","447"
"https://www.woodinvillesportsclub.com/areasweserve","https://www.woodinvillesportsclub.com/areasweserve","200","Areas We Serve | WSC","Great Tennis, Golf Driving Range, Fitness and Pickleball. Serving Woodinville, Bothell, Redmond, Kirkland, Seattle, Bellevue, Kenmore, Snohomish, Sammamish, Issaquah","Areas We Serve","https://www.woodinvillesportsclub.com/areasweserve","{""og:title"":""Areas We Serve | WSC"",""og:description"":""Great Tennis, Golf Driving Range, Fitness and Pickleball. Serving Woodinville, Bothell, Redmond, Kirkland, Seattle, Bellevue, Kenmore, Snohomish, Sammamish, Issaquah"",""og:image"":""https://static.wixstatic.com/media/ad0976_669a0d850c1b464aa3f6c5b718ce6e43%7Emv2.png/v1/fit/w_2500,h_1330,al_c/ad0976_669a0d850c1b464aa3f6c5b718ce6e43%7Emv2.png"",""og:image:width"":""2500"",""og:image:height"":""1330"",""og:url"":""https://www.woodinvillesportsclub.com/areasweserve"",""og:site_name"":""WSC"",""og:type"":""website""}","99"
